date,litecoin,trend_relative_diff,trend_log_return
2023-09-27,23,0.09523809523809523,0.09097177820572679
2023-09-28,27,0.17391304347826086,0.16034265007517948
2023-09-29,21,-0.2222222222222222,-0.25131442828090605
2023-09-30,23,0.09523809523809523,0.09097177820572679
2023-10-01,25,0.08695652173913043,0.083381608939051
2023-10-02,27,0.08,0.0769610411361284
2023-10-03,23,-0.14814814814814814,-0.16034265007517937
2023-10-04,25,0.08695652173913043,0.083381608939051
2023-10-05,26,0.04,0.03922071315328133
2023-10-06,25,-0.038461538461538464,-0.03922071315328127
2023-10-07,23,-0.08,-0.08338160893905101
2023-10-08,21,-0.08695652173913043,-0.09097177820572676
2023-10-09,23,0.09523809523809523,0.09097177820572679
2023-10-10,21,-0.08695652173913043,-0.09097177820572676
2023-10-11,24,0.14285714285714285,0.13353139262452257
2023-10-12,23,-0.041666666666666664,-0.04255961441879589
2023-10-13,22,-0.043478260869565216,-0.04445176257083381
2023-10-14,23,0.045454545454545456,0.044451762570833796
2023-10-15,22,-0.043478260869565216,-0.04445176257083381
2023-10-16,25,0.13636363636363635,0.127833371509885
2023-10-17,20,-0.2,-0.2231435513142097
2023-10-18,21,0.05,0.04879016416943205
2023-10-19,22,0.047619047619047616,0.04652001563489291
2023-10-20,25,0.13636363636363635,0.127833371509885
2023-10-21,23,-0.08,-0.08338160893905101
2023-10-22,25,0.08695652173913043,0.083381608939051
2023-10-23,31,0.24,0.2151113796169455
2023-10-24,38,0.22580645161290322,0.20359895524123955
2023-10-25,29,-0.23684210526315788,-0.2702903297399117
2023-10-26,29,0.0,0.0
2023-10-27,27,-0.06896551724137931,-0.07145896398214498
2023-10-28,24,-0.1111111111111111,-0.11778303565638351
2023-10-29,26,0.08333333333333333,0.08004270767353636
2023-10-30,23,-0.11538461538461539,-0.12260232209233239
2023-10-31,27,0.17391304347826086,0.16034265007517948
2023-11-01,26,-0.037037037037037035,-0.037740327982847086
2023-11-02,25,-0.038461538461538464,-0.03922071315328127
2023-11-03,22,-0.12,-0.12783337150988489
2023-11-04,25,0.13636363636363635,0.127833371509885
2023-11-05,23,-0.08,-0.08338160893905101
2023-11-06,31,0.34782608695652173,0.29849298855599654
2023-11-07,31,0.0,0.0
2023-11-08,27,-0.12903225806451613,-0.13815033848081718
2023-11-09,34,0.25925925925925924,0.23052365861183235
2023-11-10,34,0.0,0.0
2023-11-11,30,-0.11764705882352941,-0.12516314295400605
2023-11-12,33,0.1,0.09531017980432493
2023-11-13,30,-0.09090909090909091,-0.0953101798043249
2023-11-14,29,-0.03333333333333333,-0.03390155167568134
