date,open,high,low,close,volumefrom,volumeto,supply,market_cap,price_log_return,volumefrom_log_return,market_cap_log_return,volatility_5d,volatility_10d,volatility_30d,volatility_5d_log_return,volatility_10d_log_return,volatility_30d_log_return
2019-07-29,9531.77,9717.69,9386.9,9506.93,31434.4,299936368.39,17846146.0449723,169662061219.32852,-0.0026094233424356,0.1045623459996386,-0.0024917439532616,0.0192691886477646,0.0215494008287362,0.0553460846168175,0.0023054867889787,0.0076761517997846,-0.0051538118661313
2019-07-30,9506.93,9749.53,9391.78,9595.52,28856.19,276402322.56,17847921.0449724,171260083345.45358,0.0092753165302476,-0.0855783066491889,0.0093747728346855,0.0188619286725022,0.0198675911087327,0.0526628461778158,-0.0213618425468853,-0.0812581957529219,-0.0496957172222448
2019-07-31,9595.52,10123.94,9581.6,10089.25,42030.01,416343142.53,17850058.5449724,180093703174.8628,0.0501741776976709,0.3760593589435429,0.0502939323743842,0.0315589828447417,0.0276629000005573,0.0535096146838581,0.5147127316344792,0.3310023486624489,0.0159511506722693
2019-08-01,10089.25,10488.81,9890.49,10409.79,43505.11,442037342.05,17851833.5449724,185833838318.11823,0.0312762089307213,0.0344945155175089,0.0313756434367124,0.0215794376330239,0.0288059759682824,0.0536535422083197,-0.3801173663512491,0.0404906992138682,0.0026861398110365
2019-08-02,10409.79,10666.64,10340.82,10528.99,44213.09,463688251.79,17853946.0449723,187984019368.0529,0.0113856956036205,0.0161424966251147,0.0115040237861516,0.0208446358898443,0.0235206848717397,0.0502274353938569,-0.0346442561784536,-0.202702623212774,-0.0659860920843769
2019-08-03,10528.99,10915.0,10509.35,10820.41,34102.93,367536516.75,17856108.5449724,193210415461.10483,0.0273017603751897,-0.2596375947330097,0.0274228747239399,0.0166369158937847,0.0236994669364081,0.0488986861005652,-0.2254725683811858,0.0075723144505503,-0.0268108721882689
2019-08-04,10820.41,11074.95,10572.24,10978.91,39795.33,431699306.35,17858196.0449724,196063527140.1079,0.0145419942595533,0.1543662643705852,0.0146588941979023,0.0154467427151476,0.0237387510876777,0.0489075914691185,-0.0742259216753693,0.0016562241115233,0.0001821021881037
2019-08-05,10978.91,11945.38,10978.89,11807.96,74748.53,870917186.96,17859983.5449724,210889971299.6923,0.0727977205674009,0.6303799778030991,0.0728978096549196,0.0245729958012386,0.0301280865585311,0.0505347699723193,0.4642499547146878,0.2383490650718196,0.032728984468582
2019-08-06,11807.96,12316.85,11224.1,11467.1,80694.71,949534020.01,17861996.0449723,204825294847.30188,-0.0292918146236365,0.0765434751766968,-0.0291791388970877,0.0366485418455691,0.0283549886516224,0.0507196962759407,0.3997255332758822,-0.0606548636958055,0.0036527081932249
2019-08-07,11467.1,12138.55,11393.98,11974.28,70893.9,834719365.81,17863908.5449723,213907442811.89093,0.0432789505335556,-0.1294886285369367,0.0433860157023051,0.0376775061553519,0.0288698407657193,0.0497115927199048,0.0276896210725683,0.0179944968564424,-0.0200761620359188
2019-08-08,11974.28,12042.87,11498.04,11982.8,49871.24,588463519.89,17865683.5449724,214080912782.69528,0.0007112720213976,-0.351739909268351,0.0008106294390302,0.0392434895516688,0.0285623937533085,0.0495287092252645,0.0407222964940728,-0.0107065292465676,-0.003685674027238
2019-08-09,11982.8,12027.57,11674.06,11865.21,39230.82,464214586.73,17867521.0449723,212001889378.01575,-0.0098616994036768,-0.2399818215233515,-0.0097588538837968,0.0416020558082024,0.0301896772031823,0.049081247875041,0.0583640253373799,0.0554091026339172,-0.0090754409511774
2019-08-10,11865.21,11971.35,11232.42,11293.59,40869.27,470049694.45,17869408.5449724,201809773649.4149,-0.0493752807159328,0.0409157735309112,-0.0492696476901795,0.0348927587384229,0.0355267728399339,0.0484757599133834,-0.1758702628374602,0.1627865252626167,-0.0124131674426821
2019-08-11,11293.59,11584.35,11119.32,11549.06,25734.51,292814721.19,17871321.0449723,206396959027.6478,0.0223687402442448,-0.4625455431987075,0.0224757610031194,0.0349962888773112,0.0350784503164187,0.0480987618963078,0.0029627021156833,-0.0126995859199129,-0.0078074408247131
2019-08-12,11549.06,11554.74,11240.38,11387.41,20181.72,229908138.9,17872983.5449724,203526991549.85416,-0.0140956892224648,-0.2430556485086374,-0.0140026674098785,0.0261230762684862,0.0359133047864117,0.0476712708378316,-0.2924229518730854,0.0235208428728216,-0.0089275086482833
2019-08-13,11387.41,11439.48,10765.3,10872.0,43742.98,483240069.77,17874946.0449724,194336413400.9399,-0.046317682303148,0.7735538985889311,-0.0462078857345366,0.02952459045549,0.0389013671532916,0.044073530520592,0.1224044189599465,0.0799215616353415,-0.0784695406315138
2019-08-14,10872.0,10873.44,9924.58,10031.89,70125.86,728247545.72,17876846.0449724,179338553070.09818,-0.0804216579306735,0.4719604847961353,-0.0803153695523448,0.0391017249607488,0.0460248126064554,0.0450907740976731,0.2809430917837472,0.1681512602152987,0.0228182728213381
2019-08-15,10031.89,10451.61,9497.12,10308.51,84438.15,842979140.9,17878808.5449724,184303876673.93344,0.0272007487830867,0.1857276861099913,0.0273105216301777,0.0457876094413849,0.0386930658717995,0.0370277425360066,0.157846935642911,-0.1735202480085188,-0.1970102301640876
2019-08-16,10308.51,10544.97,9764.32,10360.43,62357.48,635040831.46,17880646.0449724,185251181703.7134,0.0050239740602455,-0.3031356808387835,0.005126744084156,0.0424780546933253,0.0386665197430293,0.0367161352656151,-0.0750259358908067,-0.0006863048606358,-0.0084511185008925
2019-08-17,10360.43,10474.64,10010.76,10220.75,24470.79,251018339.59,17882246.0449724,182769966264.15167,-0.0135737741599374,-0.9354034714901214,-0.0134842959378157,0.0425021148748081,0.033813009903252,0.0325741941477227,0.0005662540389819,-0.1341284658708115,-0.1196959271167303
2019-08-18,10220.75,10512.89,10079.46,10326.25,21614.15,223456175.83,17883821.0449724,184672807065.64627,0.010269229293014,-0.1241319685601397,0.0103573015989267,0.0418090541682016,0.0344615338723948,0.032598881485712,-0.0164409134828881,0.0189981049753417,0.0007575931910567
2019-08-19,10326.25,10937.26,10278.31,10922.16,39936.81,426168059.98,17885858.5449724,195352208765.55576,0.0561045560597077,0.6139502621899756,0.0562184793615411,0.0262521694151669,0.0411860574354433,0.0339972800663771,-0.4653642929595133,0.1782560455338885,0.0420025458385964
2019-08-20,10922.16,10956.06,10576.37,10770.76,30891.56,332208752.04,17887771.0449724,192664888860.34695,-0.0139586978875639,-0.2568154475573695,-0.0138517755526626,0.0286036645415307,0.0387079280944491,0.0339620618752141,0.0857862104304205,-0.062055347943804,-0.0010364489504902
2019-08-21,10770.76,10805.7,9870.07,10131.67,57446.51,584554031.67,17889471.0449724,181250217102.2155,-0.0611688935327194,0.6203712465367349,-0.0610738610538601,0.0426444610730536,0.0411450167769939,0.03550929581696,0.3993625557329159,0.0610583814341052,0.0445504417845451
2019-08-22,10131.67,10231.99,9777.06,10104.11,38005.1,380411207.72,17891233.5449724,180774991774.0911,-0.0027238897675591,-0.4131338927252903,-0.0026253729819549,0.0423400789406206,0.0412712044715293,0.0344305605453409,-0.0071632660229862,0.0030622076875182,-0.0308499582601721
2019-08-23,10104.11,10468.14,10053.67,10410.49,31466.97,324471966.33,17893146.0449724,186276417969.72473,0.0298716798775504,-0.1887819369798836,0.0299785700918695,0.0446394850429957,0.0412556411332878,0.034784241248459,0.0528846520808963,-0.0003771703210498,0.0102198885882227
2019-08-24,10410.49,10430.99,9911.2,10150.07,28068.47,283755017.73,17895146.0449724,181636985016.69305,-0.0253333496282544,-0.1142915419698042,-0.025221581232207,0.0331776679416511,0.0327733373644243,0.0350929078972424,-0.2967417850008945,-0.2301725585882065,0.0088346093159796
2019-08-25,10150.07,10353.95,9907.03,10141.75,25686.72,259448931.12,17897083.5449724,181507747042.22385,-0.0008200349171475,-0.0886727554656618,-0.0007117711948768,0.0337625074246464,0.0314726223466283,0.0350845524065303,0.0174739417963478,-0.0404972635243335,-0.0002381246262098
2019-08-26,10141.75,10626.93,10141.75,10364.91,42155.28,437989368.7,17898796.0449724,185519410114.49487,0.0217654956834356,0.4953858166746107,0.0218611770870453,0.0218650524593875,0.0323003447102905,0.0344780339691794,-0.4344613549245552,0.0259598662524397,-0.017438506505822
2019-08-27,10364.91,10381.92,10038.26,10175.47,26481.68,269489962.47,17900483.5449724,182145833297.36032,-0.0184461408739784,-0.4649067703414592,-0.0183518652337655,0.0241808784525333,0.0325642450027641,0.0346937941996498,0.1006725901405252,0.0081370050971737,0.0062384047356457
2019-08-28,10175.47,10281.59,9600.83,9722.83,49145.33,486936428.33,17902371.0449724,174061710267.189,-0.0455031935489219,0.6183286536544534,-0.0453977550288171,0.0254607216219147,0.0351952826544527,0.0357652287693289,0.0515747618436253,0.077697150710614,0.0304153285480144
